modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
IdeaPad Flex 3 CB 11IGL05,LENOVO,11.0,HD,Chrome OS,381.0,NA,NA
Chromebook 314,ACER,14.0,Full-HD,Chrome OS,271.0,NA,NA
Summit E14 A11SCS-037ES,MSI,14.0,UHD 4K,Windows 10 Pro,1849.0,NA,NA
MateBook D 15,HUAWEI,15.0,Full-HD,Windows 10 Home,949.0,NA,NA
VivoBook 14 K413EA-EB726T,ASUS,14.0,Full-HD,Windows 10 Home,899.0,NA,NA
GE66 Raider 10UH-089ES,MSI,15.0,Full-HD,Windows 10 Home,3499.0,NA,NA
VivoBook S14 S433EA-AM615T,ASUS,14.0,Full-HD,Windows 10 Home,999.0,NA,NA
GE66 Raider 10UG-269ES,MSI,15.0,Full-HD,Windows 10 Home,3099.0,NA,NA
LG Gram 16Z90P-G.AA78B,LG ELECTRONICS,16.0,WQXGA,Windows 10 Home,1682.0,NA,NA
VivoBook S14 S433EA-AM612,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),899.0,NA,NA
Laptop 15s-fq2022ns,HP,15.0,Full-HD,Windows 10 Home,799.0,NA,NA
IdeaPad Flex 5 14ITL05,LENOVO,14.0,Full-HD,Windows 10 Home in S Mode,799.0,NA,NA
NEO Z3,THOMSON,12.0,Full-HD,Windows 10 Home,479.0,NA,NA
81M8000LSP,LENOVO,11.0,HD,Windows 10 Pro,290.0,NA,NA
Chromebook 14b-na0002ns,HP,14.0,Full-HD,Chrome OS,467.0,NA,NA
250,HP,15.0,Full-HD,Windows 10 Home,699.0,NA,NA
255,HP,15.0,Full-HD,Windows 10 Home,629.0,NA,NA
VivoBook Flip TP412FA-EC707T,ASUS,14.0,Full-HD,Windows 10 Home,743.0,NA,NA
ZenBook 14 UX425EA-BM019T,ASUS,14.0,Full-HD,Windows 10 Home,1099.0,NA,NA
"M415DA-EK337T 14""",ASUS,14.0,Full-HD,Windows 10 Home,649.0,NA,NA
VivoBook S14 S433EA-AM423,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),699.0,NA,NA
VivoBook S14 S433EA-AM436T,ASUS,14.0,Full-HD,Windows 10 Home,799.0,NA,NA
VivoBook S14 S433EA-AM611T,ASUS,14.0,Full-HD,Windows 10 Home,799.0,NA,NA
TUF Dash F15 FX516PM-HN023,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),1239.0,NA,NA
ROG Zephyrus G14 GA401II-HE004T,ASUS,14.0,Full-HD,Windows 10 Home,1299.0,NA,NA
ZenBook 14 Ultralight UX435EAL-KC096T,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),1349.0,NA,NA
ROG Zephyrus G14 GA401IU-HA134T,ASUS,14.0,WQHD,Windows 10 Home,1599.0,NA,NA
TUF Gaming FX505DT-HN540T,ASUS,15.0,Full-HD,Windows 10 Home,899.0,NA,NA
VivoBook Flip TM420IA-EC198T,ASUS,14.0,Full-HD,Windows 10 Home,683.0,NA,NA
ZenBook Flip 13 UX363EA-HP359T,ASUS,13.0,Full-HD,Windows 10 Home,1399.0,NA,NA
VivoBook Flip TP412FA-EC641T,ASUS,14.0,Full-HD,Windows 10 Home,649.0,NA,NA
Chromebook Z1400CN-BV0543,ASUS,14.0,HD,Chrome OS,353.0,NA,NA
240,HP,14.0,Full-HD,Windows 10 Home,389.0,NA,NA
IdeaPad 1 11IGL05,LENOVO,11.0,HD,Windows 10,299.0,NA,NA
F415JA-EB501,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),549.0,NA,NA
VivoBook F515JA-BR137T,ASUS,15.0,HD,Windows 10 Home,599.0,NA,NA
MacBook Pro MYDA2Y/A,APPLE,13.0,Retina,MacOS,1289.0,NA,NA
Notebook 255 G7 14Z97EA,HP,15.0,Full-HD,Windows 10 Home,479.0,NA,NA
Laptop 15s-fq2024ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),769.0,NA,NA
Laptop 14s-dq2001ns,HP,14.0,Full-HD,Windows 10 Home,649.0,NA,NA
Laptop 15s-fq2023ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),599.0,NA,NA
MateBook D15,HUAWEI,15.0,Full-HD,Windows 10 Home,699.0,NA,NA
IdeaPad Duet 3 10IGL5,LENOVO,10.0,WUXGA,Windows 10 Home,529.0,NA,NA
BRAVO 15,MSI,15.0,Full-HD,FreeDOS (Sin sistema operativo),849.0,NA,NA
HP 14S-FQ0002NS,HEWLETT PACKARD,14.0,HD,Windows 10 Home,329.0,NA,NA
Legion 5 15IMH05,LENOVO,15.0,Full-HD,FreeDOS (Sin sistema operativo),949.0,NA,NA
VivoBook14 F413JA-EK307T,ASUS,14.0,Full-HD,Windows 10 Home,699.0,NA,NA
MagicBook Pro,HONOR,16.0,Full-HD,Windows 10 Home,803.0,NA,NA
MateBook D14,HUAWEI,14.0,Full-HD,Windows 10 Home,749.0,NA,NA
TUF Gaming F17 FX706LI-H7117,ASUS,17.0,Full-HD,FreeDOS (Sin sistema operativo),1199.0,NA,NA
VivoBook 15 K513EA-BQ684,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),749.0,NA,NA
Chromebook Spin 311,ACER,11.0,HD,Chrome OS,254.0,NA,NA
MacBook Pro (2020) MWP42Y/A,APPLE,13.0,Retina,MacOS,1799.0,NA,NA
VivoBook 15 K513EA-BQ158,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),649.0,NA,NA
Nitro 5 AN515-55,ACER,15.0,Full-HD,FreeDOS (Sin sistema operativo),999.0,NA,NA
ROG Zephyrus M15 GU502LW-AZ037T,ASUS,15.0,Full-HD,Windows 10 Home,1599.0,NA,NA
Chromebook CB315-3HT,ACER,15.0,Full-HD,Chrome OS,381.0,NA,NA
GF65 Thin 10SDR-888ES,MSI,15.0,Full-HD,Windows 10 Home,1099.0,NA,NA
MacBook Pro (2020) MWP72Y/A,APPLE,13.0,Retina,MacOS,1739.0,NA,NA
ROG Zephyrus G14 GA401IU-HA068,ASUS,14.0,WQHD,FreeDOS (Sin sistema operativo),1299.0,NA,NA
MacBook Pro (2019),APPLE,16.0,Retina,MacOS,2533.0,NA,NA
VivoBook 14 K413JP-EK072,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),849.0,NA,NA
TUF Dash F15 FX516PM-HN023T,ASUS,15.0,Full-HD,Windows 10 Home,1399.0,NA,NA
HP 14-dw1009ns,HEWLETT PACKARD,14.0,HD,Windows 10 Home,849.0,NA,NA
GL65 Leopard 10SFSK-450ES,MSI,15.0,Full-HD,Windows 10 Home,1449.0,NA,NA
ZenBook 13 UX325EA-EG041T,ASUS,13.0,Full-HD,Windows 10 Home,1099.0,NA,NA
Laptop 15s-fq2036ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),499.0,NA,NA
HP Chromebook x360 12b-ca0001ns,HEWLETT PACKARD,12.0,HD,Chrome OS,317.0,NA,NA
Chromebook 14 Z3400CT-H50130,ASUS,14.0,Full-HD,Chrome OS,509.0,NA,NA
Legion 5 15ARH05,LENOVO,15.0,Full-HD,Windows 10 Home,1099.0,NA,NA
ROG Zephyrus G14 GA401II-HE004,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),1239.0,NA,NA
TUF A15 FA506QR-AZ001,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),1699.0,NA,NA
OMEN 15-ek0013ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),1104.0,NA,NA
GF65 Thin 10SDR-1241ES,MSI,15.0,Full-HD,Windows 10 Home,1199.0,NA,NA
IdeaPad 5 14ITL05,LENOVO,14.0,Full-HD,Windows 10 Home,999.0,NA,NA
Laptop 13-ba1017ns,HP,13.0,Full-HD,Windows 10 Home,1019.0,NA,NA
ZenBook 14 UX433FA-A5090T,ASUS,14.0,Full-HD,Windows 10 Home,1049.0,NA,NA
ZenBook Flip 13 UX363EA-HP043T,ASUS,13.0,Full-HD,Windows 10 Home,1089.0,1.3,1251.42
GF63 Thin 10SCXR-042XES,MSI,15.0,Full-HD,FreeDOS (Sin sistema operativo),999.0,NA,NA
Nitro 5,ACER,15.0,Full-HD,Windows 10 Home,999.0,NA,NA
Yoga C930,LENOVO,13.0,HD,Windows 10 Home,1199.0,NA,NA
ZenBook™ 13 UX325EA-EG016T,ASUS,13.0,Full-HD,Windows 10 Home,999.0,NA,NA
GP76 LEOPARD 10UE-060ES,MSI,17.0,Full-HD,Windows 10 Home,1949.0,NA,NA
250 G7,HP,15.0,Full-HD,Windows 10 Home,649.0,1.78,599.49
HP 14-dv0005ns,HEWLETT PACKARD,14.0,Full-HD,Windows 10 Home,849.0,NA,NA
ProArt StudioBook Pro17 J700G3T-AV103R,ASUS,17.0,WUXGA,Windows 10 Pro,2199.0,NA,NA
GS66 Stealth 10UE -260ES,MSI,15.0,Full-HD,Windows 10 Home,2299.0,NA,NA
ROG Strix SCAR 17 G732LWS-HG053T,ASUS,17.0,Full-HD,Windows 10 Home,1999.0,NA,NA
Bravo 17,MSI,17.0,Full-HD,FreeDOS (Sin sistema operativo),1089.0,NA,NA
OMEN 17-cb1006ns,HP,17.0,Full-HD,FreeDOS (Sin sistema operativo),1274.0,NA,NA
Yoga Slim 9 14ITL5,LENOVO,14.0,UHD 4K,Windows 10 Pro,2299.0,NA,NA
Yoga Duet 7 13IML05,LENOVO,13.0,WQHD,Windows 10 Home,989.0,NA,NA
MacBook Pro (2020) MWP82Y/A,APPLE,13.0,Retina,MacOS,2299.0,NA,NA
Surface Laptop 3,MICROSOFT,15.0,HD,Windows 10 Home,1299.0,NA,NA
Chromebook 714,ACER,14.0,Full-HD,Chrome OS,410.0,NA,NA
ideapad 720S-13IKB,LENOVO,13.0,Full-HD,Windows 10,949.0,NA,NA
Yoga 9 14ITL5,LENOVO,14.0,UHD 4K,Windows 10 Pro,2299.0,NA,NA
Satellite Pro C50-E-10C,DYNABOOK,15.0,Full-HD,Windows 10 Pro,699.0,NA,NA
Switch 3 SW312-31-C4P6,Acer,12.2,WUXGA,NA,NA,1.25,199.65
Laptop 15s-fq1072ns,HP,15.6,Full HD,NA,NA,1.69,496.64
F409FA-EK247T. Intel Core i3 8145U. RAM 8 GB. 512 GB SSD,Asus,NA,NA,NA,NA,1.6,471.23
VivoBook 15 S512JA-BQ1028,Asus,15.6,Full HD,NA,NA,1.8,461.55
ThinkPad T460,Lenovo,14.0,NA,NA,NA,1.73,454.29
15-dw0005ns,HP,NA,NA,NA,NA,1.74,381.69
Latitude E7250,Dell,12.5,NA,NA,NA,NA,375.64
EliteBook 820 G2,HP,12.5,HD,NA,NA,1.34,369.59
NA,HP,15.6,Full HD,NA,NA,1.69,599.49
ThinkPad E14,Lenovo,14.0,Full HD,NA,NA,1.64,1075.24
Laptop 14s-dq1015ns,HP,14.0,Full HD,NA,NA,1.46,563.19
OMEN 15-en0011ns,HP,15.6,Full HD,NA,NA,2.37,1089.54
ThinkBook 15,Lenovo,15.6,Full HD,NA,NA,1.8,987.15
Matebook D 14,Huawei,14.0,Full HD,NA,NA,1.38,741.77
EliteBook 840 G7,HP,14.0,Full HD,NA,NA,1.33,1722.07
XPS 15 9500,Dell,15.6,Full HD+,NA,NA,2.05,1743.26
MacBook Pro,Apple,13.3,NA,NA,NA,1.4,1587.41
ThinkBook V15 IIL,Lenovo,15.6,Full HD,NA,NA,1.85,665.75
OMEN 15-ek0018ns,HP,15.6,Full HD,NA,NA,2.36,1393.64
15s-fq1124ns,HP,15.6,HD,NA,NA,1.69,484.54
Latitude E7270,Dell,12.5,HD,NA,NA,1.25,418.64
F509JB-EJ003T,Asus,15.6,Full HD,NA,NA,1.9,532.94
ProBook x360 440 G1,HP,14.0,Full HD,NA,NA,1.72,514.79
Gaming GF63 10SCSR-876XES Thin,Msi,15.6,Full HD,NA,NA,1.86,963.05
EliteBook 840 G6,HP,14.0,Full HD,NA,NA,1.48,847.54
250G8 Intel i5-1135G7,HP,15.6,Full HD,NA,NA,NA,678.98
"ntalla (15.6"") 1920 x 1080 Pixeles",HP,15.6,Full HD,NA,NA,1.74,591.12
Gaming GF63 10SCSR-835ES Thin,Msi,15.6,Full HD,NA,NA,1.86,1216.05
EliteBook 850 G7,HP,15.6,Full HD,NA,NA,1.67,1349.1
Bravo 15 A4DDR-219XES,Msi,15.6,Full HD,NA,NA,1.96,812.1
Probook 450 G8,HP,NA,NA,NA,NA,NA,914.13
Alpha 15 A4DEK-006XES,Msi,15.6,Full HD,NA,NA,2.4,1013.52
340S G7,HP,14.0,Full HD,NA,NA,1.47,715.13
ThinkPad E15,Lenovo,15.6,Full HD,NA,NA,1.7,949.4
ThinkBook 14,Lenovo,14.0,Full HD,NA,NA,1.4,914.87
EliteBook 840 G7 Ultraportátil,HP,14.0,Full HD,NA,NA,1.33,1601.7
ProArt StudioBook Pro 17 W700G3T-AV093R,Asus,17.0,WUXGA,NA,NA,2.39,3151.6
ThinkBook 14s Yoga Híbrido (2-en-1),Lenovo,14.0,Full HD,NA,NA,1.5,982.12
EliteBook 830 G7,HP,13.3,Full HD,NA,NA,1.23,1526.85
ZBook 15v G5,HP,15.6,Full HD,NA,NA,2.14,1187.65
ENVY Laptop 13-ba0000ns Notebook,HP,13.3,Full HD,NA,NA,1.3,805.19
Spectre x360 Conv 15-eb0000ns,HP,15.6,4K Ultra HD,NA,NA,2.45,1452.54
Pavilion Laptop 15-cs3001ns,HP,15.6,Full HD,NA,NA,1.85,1016.94
Pavilion x360 14-dw1005ns,HP,14.0,Full HD,NA,NA,1.61,599.49
Aspire 5 ,Acer,15.6,Full HD,NA,NA,1.9,599.49
Aspire 3 A315-34-C6U0,Acer,15.6,Full HD,NA,NA,1.9,599.49
Extensa 215-52,Acer,NA,NA,NA,NA,NA,599.49
Extensa 15 EX215-52,Acer,15.6,Full HD,NA,NA,1.9,599.49
V V14,Lenovo,14.0,HD,NA,NA,1.6,593.44
Laptop 15s-fq1076ns,HP,15.6,Full HD,NA,NA,1.69,593.44
ProBook 430 G7,HP,13.3,Full HD,NA,NA,1.49,592.9
IdeaPad Flex 5,Lenovo,14.0,Full HD,NA,NA,1.5,581.34
ZenBook 13 UX333FA-A3070T,Asus,13.3,Full HD,NA,NA,NA,581.34
Yoga S730-13IWL,Lenovo,13.3,Full HD,NA,NA,1.1,580.13
Vostro 3501,Dell,15.6,Full HD,NA,NA,1.9,575.29
Laptop 15s-eq0031ns,HP,15.6,Full HD,NA,NA,1.74,575.29
15s-fq1073ns,HP,15.6,Full HD,NA,NA,1.69,575.29
ZenBook 14 UM431DA-AM011T,Asus,NA,NA,NA,NA,1.39,568.03
"V V15 Pantalla 15.6""",Lenovo,15.6,HD,NA,NA,1.85,563.19
255 G7,HP,15.6,Full HD,NA,NA,1.78,563.19
Laptop 14-dk0009ns,HP,14.0,HD,NA,NA,1.47,557.14
250 G8,HP,15.6,Full HD,NA,NA,1.74,552.3
V15-IIL,Lenovo,15.6,HD,NA,NA,1.78,506.32
V V15,Lenovo,15.6,HD,NA,NA,1.85,363.54
Laptop 15s-fq1000ns,HP,15.6,HD,NA,NA,1.69,538.99
ProBook 640 G4,HP,14.0,HD,NA,NA,1.73,749.53
15s-fq1137ns,HP,15.6,HD,NA,NA,1.69,505.11
IdeaPad 3 15ADA05,Lenovo,NA,NA,NA,NA,1.85,333.29
M415DA-EK274T,Asus,14.0,Full HD,NA,NA,1.6,534.15
17-by3006ns,HP,17.3,HD+,NA,NA,2.38,599.98
15s-fq1138ns,HP,15.6,HD,NA,NA,1.69,532.94
Laptop M509DA-BR198T,Asus,15.6,HD,NA,NA,1.8,532.94
Laptop 14s-dq1010ns,HP,14.0,Full HD,NA,NA,1.46,526.89
Laptop 14s-dq1019ns,HP,14.0,Full HD,NA,NA,1.46,508.74
Laptop 15s-fq1119n,HP,15.6,HD,NA,NA,1.69,496.64
IdeaPad 5,Lenovo,14.0,Full HD,NA,NA,1.5,496.64
TUF Gaming FX504GD-EN1354,Asus,15.6,Full HD,NA,NA,2.3,623.69
V15 ADA,Lenovo,NA,NA,NA,NA,NA,357.49
14s-dq1038ns,HP,14.0,HD,NA,NA,1.46,480.91
Chromebook x360 14b-ca0001ns,HP,14.0,Full HD,NA,NA,1.58,339.34
255 G8,HP,15.6,Full HD,NA,NA,1.74,499.06
Chromebook x360 12b-ca0000ns,HP,12.0,HD+,NA,NA,1.35,315.14
Chromebook x360 12b-ca0001ns,HP,12.0,HD+,NA,NA,1.35,303.04
E210MA-GJ003R,Asus,NA,NA,NA,NA,1.2,284.89
Stream 11-ak0004ns,HP,11.6,HD,NA,NA,1.05,272.79
ProBook 455 G7,HP,15.6,Full HD,NA,NA,2.0,696.29
